MeterID,Timestamp,kWh,kW,kVA
SH087469,"2019-06-01 00:00:00 EST","323.2","323.2","323.2"
SH087469,"2019-06-01 01:00:00 EST","308.8","308.8","310.4"
SH087469,"2019-06-01 02:00:00 EST",312,312,"310.4"
SH087469,"2019-06-01 03:00:00 EST",304,304,304
SH087469,"2019-06-01 04:00:00 EST","310.4","310.4","310.4"
SH087469,"2019-06-01 05:00:00 EST",408,408,408
SH087469,"2019-06-01 06:00:00 EST","473.6","473.6","473.6"
SH087469,"2019-06-01 07:00:00 EST","465.6","465.6","465.6"
SH087469,"2019-06-01 08:00:00 EST","489.6","489.6","489.6"
SH087469,"2019-06-01 09:00:00 EST","492.8","492.8","492.8"
SH087469,"2019-06-01 10:00:00 EST",496,496,496
SH087469,"2019-06-01 11:00:00 EST","500.8","500.8","500.8"
SH087469,"2019-06-01 12:00:00 EST","505.6","505.6","507.2"
SH087469,"2019-06-01 13:00:00 EST","665.6","665.6",680
SH087469,"2019-06-01 14:00:00 EST","643.2","643.2","660.8"
SH087469,"2019-06-01 15:00:00 EST","638.4","638.4","654.4"
SH087469,"2019-06-01 16:00:00 EST","596.8","596.8","609.6"
SH087469,"2019-06-01 17:00:00 EST","569.6","569.6","582.4"
SH087469,"2019-06-01 18:00:00 EST","563.2","563.2",576
SH087469,"2019-06-01 19:00:00 EST",560,560,"571.2"
SH087469,"2019-06-01 20:00:00 EST",560,560,"572.8"
SH087469,"2019-06-01 21:00:00 EST","451.2","451.2","452.8"
SH087469,"2019-06-01 22:00:00 EST","449.6","449.6",448
SH087469,"2019-06-01 23:00:00 EST","403.2","403.2","404.8"
SH087469,"2019-06-02 00:00:00 EST",312,312,312
SH087469,"2019-06-02 01:00:00 EST","307.2","307.2","307.2"
SH087469,"2019-06-02 02:00:00 EST",304,304,304
SH087469,"2019-06-02 03:00:00 EST","308.8","308.8","308.8"
SH087469,"2019-06-02 04:00:00 EST","305.6","305.6","305.6"
SH087469,"2019-06-02 05:00:00 EST",296,296,296
SH087469,"2019-06-02 06:00:00 EST","281.6","281.6",280
SH087469,"2019-06-02 07:00:00 EST",280,280,280
SH087469,"2019-06-02 08:00:00 EST",272,272,"273.6"
SH087469,"2019-06-02 09:00:00 EST","268.8","268.8","268.8"
SH087469,"2019-06-02 10:00:00 EST","267.2","267.2","267.2"
SH087469,"2019-06-02 11:00:00 EST","268.8","268.8","268.8"
SH087469,"2019-06-02 12:00:00 EST","268.8","268.8","268.8"
SH087469,"2019-06-02 13:00:00 EST","267.2","267.2","267.2"
SH087469,"2019-06-02 14:00:00 EST","268.8","268.8","268.8"
SH087469,"2019-06-02 15:00:00 EST","267.2","267.2","267.2"
SH087469,"2019-06-02 16:00:00 EST","265.6","265.6","265.6"
SH087469,"2019-06-02 17:00:00 EST","267.2","267.2","265.6"
SH087469,"2019-06-02 18:00:00 EST","268.8","268.8","270.4"
SH087469,"2019-06-02 19:00:00 EST","267.2","267.2","267.2"
SH087469,"2019-06-02 20:00:00 EST","273.6","273.6","273.6"
SH087469,"2019-06-02 21:00:00 EST","299.2","299.2","299.2"
SH087469,"2019-06-02 22:00:00 EST","305.6","305.6","305.6"
SH087469,"2019-06-02 23:00:00 EST","307.2","307.2","307.2"
SH087469,"2019-06-03 00:00:00 EST","316.8","316.8","316.8"
SH087469,"2019-06-03 01:00:00 EST",312,312,312
SH087469,"2019-06-03 02:00:00 EST","310.4","310.4","310.4"
SH087469,"2019-06-03 03:00:00 EST","326.4","326.4","326.4"
SH087469,"2019-06-03 04:00:00 EST","579.2","579.2","577.6"
SH087469,"2019-06-03 05:00:00 EST","572.8","572.8","574.4"
SH087469,"2019-06-03 06:00:00 EST","571.2","571.2","571.2"
SH087469,"2019-06-03 07:00:00 EST","729.6","729.6","731.2"
SH087469,"2019-06-03 08:00:00 EST","732.8","732.8","732.8"
SH087469,"2019-06-03 09:00:00 EST","745.6","745.6","745.6"
SH087469,"2019-06-03 10:00:00 EST","766.4","766.4",768
SH087469,"2019-06-03 11:00:00 EST","764.8","764.8","763.2"
SH087469,"2019-06-03 12:00:00 EST","763.2","763.2","764.8"
SH087469,"2019-06-03 13:00:00 EST","787.2","787.2","787.2"
SH087469,"2019-06-03 14:00:00 EST",784,784,784
SH087469,"2019-06-03 15:00:00 EST","732.8","732.8","734.4"
SH087469,"2019-06-03 16:00:00 EST","705.6","705.6","705.6"
SH087469,"2019-06-03 17:00:00 EST","667.2","667.2","667.2"
SH087469,"2019-06-03 18:00:00 EST",648,648,648
SH087469,"2019-06-03 19:00:00 EST","646.4","646.4","644.8"
SH087469,"2019-06-03 20:00:00 EST",632,632,"633.6"
